,CarName,Owner,YearofPurchase,Transmission,Model,Distance,Fuel,Price,website,Product_url
0,Hyundai Elantra (2013),1st,2013,MANUAL,1.6 SX Option,88147.0 KM,DIESEL,"₹ 5,90,000",olx.in,https://www.olx.in/item/hyundai-elantra-16-sx-option-2013-diesel-iid-1653911468
1,Hyundai Xcent (2016),1st,2016,MANUAL,1.2 CRDi SX,59000.0 KM,DIESEL,"₹ 5,25,000",olx.in,https://www.olx.in/item/hyundai-xcent-12-crdi-sx-2016-diesel-iid-1653422185
2,Maruti Suzuki Alto K10 (2011),1st,2011,MANUAL,VXI,68000.0 KM,PETROL,"₹ 2,15,000",olx.in,https://www.olx.in/item/maruti-suzuki-alto-k10-vxi-2011-petrol-iid-1654607417
3,Honda City (2014),Second,2014,MANUAL,2014-2015 i VTEC V,56553 KM,PETROL,"₹ 5,75,000",olx.in,https://www.olx.in/item/honda-city-with-excellent-condition-service-history-maintained-iid-1611816626
4,Renault Duster (2016),First,2016,MANUAL,85PS Diesel RxS,50509 KM,DIESEL,"₹ 6,00,000",olx.in,https://www.olx.in/item/renault-duster-2016-diesel-good-condition-iid-1641998027
5,Maruti Suzuki Ritz (2015),2nd,2015,MANUAL,VDi,"82,000 KM",DIESEL,"₹ 3,60,000",olx.in,https://www.olx.in/item/maruti-suzuki-ritz-2015-diesel-well-maintained-iid-1656672152
6,Maruti Suzuki Swift (2015),2nd,2015,MANUAL,VDI,65000.0 KM,DIESEL,"₹ 5,05,000",olx.in,https://www.olx.in/item/maruti-suzuki-swift-vdi-2015-diesel-iid-1656672119
7,Honda Amaze (2015),1st,2015,MANUAL,1.2 SMT I VTEC,72000.0 KM,PETROL,"₹ 4,50,000",olx.in,https://www.olx.in/item/honda-amaze-12-smt-i-vtec-2015-petrol-iid-1656672077
8,Chevrolet Tavera (2006),3rd,2006,MANUAL,NY Elite LS - B3 7-Seater - BS III,20 KM,DIESEL,"₹ 1,80,000",olx.in,https://www.olx.in/item/tavera-p7-bs111-iid-1656672054
9,Maruti Suzuki Wagon R 1.0 (2007),2nd,2007,MANUAL,1.0 LXi,95000.0 KM,LPG,"₹ 1,45,000",olx.in,https://www.olx.in/item/maruti-suzuki-wagon-r-10-lxi-2007-lpg-iid-1656672030
10,Ambassador Ambassador (2015),--,2015,MANUAL,Avigo 1800 ISZ MPFI AC,0.0 KM,--,"₹ 30,000",olx.in,https://www.olx.in/item/ambassador-avigo-1800-isz-mpfi-ac-2015-iid-1656672022
11,Maruti Suzuki Alto 800 (2019),1st,2019,MANUAL,LXI,"32,000 KM",PETROL,"₹ 3,10,000",olx.in,https://www.olx.in/item/maruti-suzuki-alto-800-2019-petrol-32000-km-driven-iid-1656672016
12,Chevrolet Captiva (2011),1st,2011,MANUAL,LTZ AWD Xtreme,100000.0 KM,DIESEL,"₹ 6,00,000",olx.in,https://www.olx.in/item/chevrolet-captiva-ltz-awd-xtreme-2011-diesel-iid-1655795192
